Número da Issue,ID,Quant. comentários,Título
8418,MDU6SXNzdWUxNTI3MjMxNjY=,114,"Deprecate Gitter rooms, Download all data"
10158,MDU6SXNzdWUxNzA1NTAzOTA=,89,Incorrect output for some equations - example javascript calculator project
16358,MDU6SXNzdWUyODQ5NjM4NTA=,75,ES6: Create Strings using Template Literals - Test Fails - Doesn't detect template strings
13727,MDU6SXNzdWUyMTE4MzkyMzM=,72,Chrome displays error message in iframe - Unsual code detected
6633,MDU6SXNzdWUxMzAzMDEzMjI=,70,"Timezone breaks submission: ""cannot read `join` of null."
7847,MDU6SXNzdWUxNDUyMjU3ODA=,66,Cursor jumps randomly in Code Editor.
12431,MDU6SXNzdWUxOTk0NDc1NjU=,61,Contents of editor can not be reviewed by screen readers
17944,MDU6SXNzdWUzNDU0MzM4MjU=,59,Test failing in: Applied Visual Design: Create a Horizontal Line Using the hr Element
3630,MDU6SXNzdWUxMTAyMTA4ODU=,59,Waypoints and Bonfires missing after latest update.
14588,MDU6SXNzdWUyMjQxOTQ2OTU=,56,Future Python Curriculum [Discussion]
13798,MDU6SXNzdWUyMTI1NzQ4NDI=,54,Replace Ionic icons with their Font Awesome equivalents and remove Ionic as a dependency 
16445,MDU6SXNzdWUyODY4MzI1NzI=,47,Creating freeCodeCamp's CSS Style guide
8332,MDU6SXNzdWUxNTE2OTkwMTM=,47,I get 500 errors on map and about after logging in
16869,MDU6SXNzdWUzMDQxOTE0NTc=,46,FCC Weather API randomly returning Japan weather
17450,MDU6SXNzdWUzMjk1OTE4OTU=,45,Replace Camper Leaderboard project with functionally similar project based on forum
5667,MDU6SXNzdWUxMjQ1MDk1NzU=,45,Improve User Account/User Info Page
12966,MDU6SXNzdWUyMDM5MTkyOTM=,44,[beta] QA of Object Oriented Programming Section
17278,MDU6SXNzdWUzMjc4NDYzNTk=,43,Sections missing from settings page
35481,MDU6SXNzdWU0MTYyNDcwMTQ=,42,Remove quotes from challenges where not needed
12460,MDU6SXNzdWUxOTk4MzAzNzE=,42,User score confused for challenge number
16565,MDU6SXNzdWUyOTEyMTcwMDY=,40,Code Locked / Unlocked button is a confusing UX for beginners
12472,MDU6SXNzdWUyMDAwMjI1NjA=,40,"Change name from ""Free Code Camp"" to freeCodeCamp everywhere"
3204,MDU6SXNzdWUxMDU2NjkwNDg=,40,Give your image a border width of 10px.
3146,MDU6SXNzdWUxMDUyMDQyODI=,40,"""Get Set for Basejumps"" Cloud9 configuration issues"
38200,MDU6SXNzdWU1NjM3OTI5Mjc=,39,Update congratulatory quotes
12699,MDU6SXNzdWUyMDIzMzE5NjM=,39,Sass challenges don't work
7925,MDU6SXNzdWUxNDYyMzMzMjI=,39,Streak is still inaccurate for many campers
13101,MDU6SXNzdWUyMDUwNjgyMDY=,38,[beta] npm challenges - user not advanced to next challenge
12687,MDU6SXNzdWUyMDIzMTgwMTc=,38,[Beta] Applied Visual Design: Adjust the Width of an Element Using the Width Property
6960,MDU6SXNzdWUxMzM0MTczNTM=,38,oops! something went wrong please try again later
17698,MDU6SXNzdWUzMzUwNDE3NDY=,37,Responsive Web Design Claim Certification Issue
17360,MDU6SXNzdWUzMjgzODU4NTE=,37,"Problem loading page, Unable to establish a secure connection : General region Pakistan"
9314,MDU6SXNzdWUxNjE4NTMwNzc=,37,Escape Sequences in Strings challenge not accepting escape sequences
5999,MDU6SXNzdWUxMjU3NjgwMzI=,37,Indian ISP's injecting Ads breaks site
17511,MDU6SXNzdWUzMzA5MTAzMjg=,36,Challenge Seed Editor discussion
17317,MDU6SXNzdWUzMjc5OTY1MTg=,36,Lost progress after the update
10740,MDU6SXNzdWUxNzcwNzcyNTM=,36,Client-ID Required for Kraken API calls
11226,MDU6SXNzdWUxODMyMzU2NjI=,35,"I had inline style color as green and the test, Give your h1 element the inline style of color: white, passed."
5072,MDU6SXNzdWUxMjA5MjQ3MTU=,35,Waypoint: Clone an Element Using jQuery: I completed the code and now the phone simulator is showing THREE target5 buttons!
1340,MDU6SXNzdWU5NjA3MDk2NA==,35,Issues with linking to Twitch from CodePen IFrame
3583,MDU6SXNzdWUxMDk2ODk4Mjk=,34,Waypoint: Target the same element with multiple jQuery Selectors BUG
3069,MDU6SXNzdWUxMDQ5NzYyNjM=,34,Make all challenges test cases accept either single or double quote input for jQuery
39721,MDU6SXNzdWU3MTA2MzY0Nzk=,33,Create single source of user stories and notes for back-end Node certification projects
35751,MDU6SXNzdWU0Mjg5NTg5MjA=,33,Need to add full working solutions for over 100 challenges in the Responsive Web Design section
15739,MDU6SXNzdWUyNDgyNTM1OTY=,33,Make Font Awesome Icons accessible to visually impaired campers
9851,MDU6SXNzdWUxNjcwNjE0NDA=,33,Seek and Destroy Algorithm System Bug
18012,MDU6SXNzdWUzNTA0NjE4MjU=,32,Can't access the curriculum page on Firefox
17679,MDU6SXNzdWUzMzQ2NzQ1MjY=,32,Error in ES6: Declare a Read-Only Variable with the const Keyword
17522,MDU6SXNzdWUzMzA5ODM5MTk=,32,Claim Certification of APIs and Microservices Projects
16368,MDU6SXNzdWUyODUwOTU2MjQ=,32,[beta] CSS Grid challenges should be added
