Número da Issue,ID,Quant. comentários,Título
47,MDU6SXNzdWUyMDkwOTA1MQ==,0,Add John Gabriele's mini Clojure book reference
100,MDU6SXNzdWUyMDk1ODM2MA==,0,Add book about TypeScript
341,MDU6SXNzdWUyMjI0NzY0Mw==,0,"Books Or Website for ""Hacking"""
526,MDU6SXNzdWUyNDg0ODE2MA==,0,Free web2py book
680,MDU6SXNzdWUyNjc5NzI5Mg==,0,I suggest diverge this repo to each language. 
688,MDU6SXNzdWUyNzE5OTgzOQ==,0,A pack of Python books
712,MDU6SXNzdWUyNzQ1NTE1OA==,0,http://eduonix.com/offers/Android_ebook_free_offer.html
713,MDU6SXNzdWUyNzQ1NTI4OA==,0,http://www.agner.org/optimize/
714,MDU6SXNzdWUyNzQ1NTI5MQ==,0,http://cs.smith.edu/~thiebaut/ArtOfAssembly/artofasm.html
715,MDU6SXNzdWUyNzQ1NTI5NQ==,0,http://www.worldofspectrum.org/infoseekid.cgi?id=2000227
716,MDU6SXNzdWUyNzQ1NTMwMA==,0,http://www.hypexr.org/bash_tutorial.php
717,MDU6SXNzdWUyNzQ1NTMwMw==,0,http://beginnersguidetogambas.com/
718,MDU6SXNzdWUyNzQ1NTMxMQ==,0,http://cppannotations.sourceforge.net/
719,MDU6SXNzdWUyNzQ1NTMxOQ==,0,http://www.agner.org/optimize/
720,MDU6SXNzdWUyNzQ1NTMyNA==,0,http://rooksguide.org/2013/11/26/version-1-0-is-out/
722,MDU6SXNzdWUyNzQ1NTMzOA==,0,http://ddili.org/ders/d.en/
723,MDU6SXNzdWUyNzQ1NTM2Nw==,0,http://thinking-forth.sourceforge.net/
724,MDU6SXNzdWUyNzQ1NTM3MA==,0,http://ficl.sourceforge.net/pdf/Forth_Primer.pdf
725,MDU6SXNzdWUyNzQ1NTM5OA==,0,http://staff.www.ltu.se/~nordland/Thesis.pdf
727,MDU6SXNzdWUyNzQ1NTQwOQ==,0,http://www.elliscave.com/APL_J/Learning_J.pdf
729,MDU6SXNzdWUyNzQ1NTc0MQ==,0,http://www.kroah.com/lkn/
730,MDU6SXNzdWUyNzQ1NTc0Mg==,0,http://lnag.sourceforge.net/
731,MDU6SXNzdWUyNzQ1NTc1Ng==,0,http://www.civilized.com/files/lispbook.pdf
732,MDU6SXNzdWUyNzQ1NTc2OQ==,0,http://www.mathprogramming-intro.org/
733,MDU6SXNzdWUyNzQ1NTgxOQ==,0,http://sourceforge.net/projects/pdl/files/PDL_2013/PDL-Book/PDL-Book-20130322.pdf/download
735,MDU6SXNzdWUyNzQ1NTg0MA==,0,http://www.amzi.com/AdventureInProlog/advfrtop.htm
736,MDU6SXNzdWUyNzQ1NTg0Mw==,0,http://www.amzi.com/ExpertSystemsInProlog/
737,MDU6SXNzdWUyNzQ1NTg1NQ==,0,http://wambook.sourceforge.net/
738,MDU6SXNzdWUyNzQ1NTg5Nw==,0,http://majesticseacreature.com/rbp-book/pdfs/rbp_1-0.pdf
740,MDU6SXNzdWUyNzQ1NTk4NA==,0,http://pgfplots.sourceforge.net/TeX-programming-notes.pdf
749,MDU6SXNzdWUyNzc3Mzg3MQ==,0,Added a lesson (learnGit) to Git section
768,MDU6SXNzdWUyODIxNTg1MA==,0,C# 5.0 in a Nutshell
769,MDU6SXNzdWUyODIxNTk2MQ==,0,Illustrated C# 2012
770,MDU6SXNzdWUyODIxNjAzNw==,0,Pro WPF 4.5 in C#
771,MDU6SXNzdWUyODIxNjIxOQ==,0,Pro WPF and Silverlight MVVM
773,MDU6SXNzdWUyODIxNjQ1Mg==,0,Pro LINQ
774,MDU6SXNzdWUyODIxNjUwOA==,0,Essential LINQ
775,MDU6SXNzdWUyODIxNjU5MA==,0,Machine Learning for Hackers
776,MDU6SXNzdWUyODIxNjYzNQ==,0,Natural Language Annotation for Machine Learning
777,MDU6SXNzdWUyODIxNjY2Nw==,0,Natural Language Processing with Python
778,MDU6SXNzdWUyODIxNjgwOQ==,0,Pro WCF 4
779,MDU6SXNzdWUyODIxNjg4Nw==,0,Programming Entity Framework
780,MDU6SXNzdWUyODIxNjk0Mw==,0,Entity Framework 4 in Action
781,MDU6SXNzdWUyODIxNjk3OA==,0,.Net Framework 4.5 Expert Programming Cookbook
782,MDU6SXNzdWUyODIxNzE0Ng==,0,Beginning Kinect Programming with the Microsoft Kinect SDK
783,MDU6SXNzdWUyODIxNzE3MQ==,0,Hacking the Kinect
784,MDU6SXNzdWUyODIxNzM2Ng==,0,Physics for Game Developers
785,MDU6SXNzdWUyODIxNzQ5Ng==,0,R Graphics Cookbook
786,MDU6SXNzdWUyODIxNzUyMg==,0,Processing 2: Creative Programming Cookbook
787,MDU6SXNzdWUyODIxNzU1OA==,0,OpenCV 2 Computer Vision Application Programming Cookbook
