Número da Issue,ID,Quant. comentários,Título
1769,MDU6SXNzdWUxMjQ0OTY0MzU=,27,Crack down on copyright infringement PDFs
699,MDU6SXNzdWUyNzQwNzk0Nw==,23,Adding software versions in table-like structure
4853,MDU6SXNzdWU3MzE2MTI5ODk=,18,volunteers needed to clean up the backlog
1586,MDU6SXNzdWUxMDM5MDY1Mzg=,18,HELP_WANTED: update broken URLs
1223,MDU6SXNzdWU1MDc3Nzc4Mg==,17,It would be helpful to specify access requirements
1427,MDU6SXNzdWU2NTY0MzM1Nw==,16,free-science-books
1926,MDU6SXNzdWUxNTA0NjYwMjE=,15,Year of publishing
1849,MDU6SXNzdWUxMzQ2NzcxMjQ=,15,Use a bot that monitors broken links
555,MDU6SXNzdWUyNTAzOTEyOA==,15,Uploading System
1783,MDU6SXNzdWUxMjU3NDMyOTA=,14,To add Japanese Interactive Programming Resources
3055,MDU6SXNzdWUzNzk0NzUxOTM=,13,how can i dintinguish if a book distributed by an accredited institution (Uni) is suited to include in the list?
692,MDU6SXNzdWUyNzIzOTQ0Mg==,13,would like to reopen #115
3002,MDU6SXNzdWUzNjg4Njc4NDI=,12,Practical Foundations for Programming Languages  2nd Edition (preview)
2672,MDU6SXNzdWUyODQ5NjkwMTQ=,12,We need a nit-fixing-bot
1192,MDU6SXNzdWU0ODc4MjUxNA==,12,Work on issues
4637,MDU6SXNzdWU3Mjc2NjA1MDI=,10,Filipino translations page required.
1022,MDU6SXNzdWUzNTU2NjgxMA==,10,JSON for canonical format?
850,MDU6SXNzdWUzMDkzMzE1OA==,9,broken links to fix
3056,MDU6SXNzdWUzNzk1MzU2NzM=,9,Reminder on open resources found casually 
2785,MDU6SXNzdWUzMTEwODY5ODk=,9,"""Opt-in required"" in place of ""Just fill the fields with any values"""
2529,MDU6SXNzdWUyNTU1MjIzMDc=,9,nutz 
2500,MDU6SXNzdWUyNDgxMTQ2ODU=,9,url_checker
2357,MDU6SXNzdWUyMjk0NTU4NzM=,9,"criteria for ""in process"" books"
2190,MDU6SXNzdWUxOTQ2NDcxODE=,9,Mir Books available for free (Please check if availability is OK)
1002,MDU6SXNzdWUzNDY3OTMxOA==,9,indexing idea?
215,MDU6SXNzdWUyMTI4NTM4MQ==,9,Code Bright for Laravel 4 Isn't free?
4082,MDU6SXNzdWU3MjE1MDk2NzU=,8,separate page for cheatsheets?
3665,MDU6SXNzdWU2NzM5MDY1NDY=,8,more books about linux 
3189,MDU6SXNzdWU0MjYxMDU0MTQ=,8,The Current C Programming Language Standard  ISO/IEC 9899:2018 (C18)
1802,MDU6SXNzdWUxMjc3NjA4MjM=,8,Dead links
3683,MDU6SXNzdWU2ODg0NjcyNzc=,7,Suggestion of adding Vulkan Tutorials at Graphics Programming
3233,MDU6SXNzdWU0MzgwMzE2MjE=,7,url_checker
1928,MDU6SXNzdWUxNTEwODI4ODE=,7,Translate books from this repository
1676,MDU6SXNzdWUxMTM4ODMxNTY=,7,"Clarification of ""Graphic Pack"" requirements in TODO"
849,MDU6SXNzdWUzMDkyNDQ1OA==,7,"Screen-casts, and pod-casts, and blogs! Oh my!"
4416,MDU6SXNzdWU3MjQzODY5MDU=,6,Travis Linting Errors as PR Comments
3856,MDU6SXNzdWU3MTgyNjI2NTc=,6,Add Docker courses requested PR #3853
3115,MDU6SXNzdWU0MDA5NTE0MjE=,6,A suggest to our lint
3006,MDU6SXNzdWUzNjg4NzMzMzc=,6,Anatomy of Programming Languages
2549,MDU6SXNzdWUyNjE1MzkwNTA=,6,Implement awesome link
2479,MDU6SXNzdWUyMzk4MzU2NDc=,6,A github.io website
2349,MDU6SXNzdWUyMjY4ODg3ODI=,6,free-programming-books will change hands!
1948,MDU6SXNzdWUxNTg5NDUyMDQ=,6,Adding book to Mathematics
1797,MDU6SXNzdWUxMjcxNTM5NTM=,6,Links direct to 404 pages in Android Section
878,MDU6SXNzdWUzMTI0NTEyMg==,6,C# and VB under .NET but not F#
721,MDU6SXNzdWUyNzQ1NTMzNA==,6,http://data-sorcery.org/contents/
542,MDU6SXNzdWUyNDkyODA0Mg==,6,Curl Language
505,MDU6SXNzdWUyNDcxMzkzNQ==,6,"""Data Structures and Algorithms: Annotated Reference with Examples"" download link doesn't work"
4796,MDU6SXNzdWU3MzA5NDQwMTA=,5,Add new algorithm books 
4579,MDU6SXNzdWU3MjY1Nzg3Nzg=,5,Consistency of listings (help wanted)
