Número da Issue,ID,Quant. comentários,Título
22,MDU6SXNzdWUxMTU5MjgwOTc=,541,OpenCL support
24828,MDU6SXNzdWUzOTc4MTYxOTI=,264,"Error : Failed to get convolution algorithm. This is probably because cuDNN failed to initialize, so try looking to see if a warning log message was printed above."
37,MDU6SXNzdWUxMTU5NTY5Mjc=,246,Node.js (JavaScript) Wrapper API
22794,MDU6SXNzdWUzNjc0MzI2MDI=,184,Win10: ImportError: DLL load failed: The specified module could not be found
24496,MDU6SXNzdWUzOTMzMzQyNzA=,181,Could not create cudnn handle: CUDNN_STATUS_INTERNAL_ERROR
17,MDU6SXNzdWUxMTU5MjU5NjQ=,180,Windows Support and Documentation
12052,MDU6SXNzdWUyNDgxMzU1NjA=,170,Upgrade to CuDNN 7 and CUDA 9
27880,MDU6SXNzdWU0MzM1NTAwNjg=,149,Quantization-Aware Training support in Keras
20444,MDU6SXNzdWUzMzcyMzUzMDY=,148,Unable to install TensorFlow on Python3.7 with pip
6698,MDU6SXNzdWUxOTkyNDU4Njk=,145,Crash: Could not create cuDNN handle when convnets are used
42,MDU6SXNzdWUxMTU5NzA2OTk=,144,Windows support
15633,MDU6SXNzdWUyODQ1MDMwMDQ=,141,[Question&Error] Is there detection model like a SSD-Mobile-net in tensorflow-lite?
39439,MDU6SXNzdWU2MTYyODkxMTI=,140,"Windows C++ tensorflow_cc.dll has overlapping memory address between string gpu options for ""allocator type"" and ""visible device list"""
33374,MDU6SXNzdWU1MDcyMzc3ODA=,139,Python3.8 support
17022,MDU6SXNzdWUyOTcyODg4MDA=,137,Is python 3.7.x supported with Tensorflow
15604,MDU6SXNzdWUyODQzMDc4MzU=,136,ImportError: libcublas.so.9.0: cannot open shared object file: No such file or directory
7951,MDU6SXNzdWUyMTA5MjAwMDM=,134,[Enhancement] Redesigning TensorFlow's input pipelines
1122,MDU6SXNzdWUxMzM5ODAyMDY=,127,Easy to use batch norm layer.
5,MDU6SXNzdWUxMTU5MTA5MDA=,112,Java interface
26297,MDU6SXNzdWU0MTY1MTc3MjQ=,102,Tensorflow lite gpu delegate inference using opengl and SSBO in android
8191,MDU6SXNzdWUyMTI2OTAyOTM=,102,ValueError: Attempt to reuse RNNCell with a different variable scope than its first use.
25,MDU6SXNzdWUxMTU5MzgyNDg=,101,Cuda 3.0?
17411,MDU6SXNzdWUzMDIwNzU1MTM=,100,Illegal instruction (core dumped) after running import tensorflow
18652,MDU6SXNzdWUzMTU0Njk1NjA=,98,Bug: tensorflow-gpu takes long time before beginning to compute
40157,MDU6SXNzdWU2MzA5NTc2MzQ=,91,"TFLite: Cannot run inference on TF Lite Model: ""Regular TensorFlow ops are not supported by this interpreter."" "
17390,MDU6SXNzdWUzMDE5MzQ3NzI=,91,Full-fledged Java api roadmap?
14182,MDU6SXNzdWUyNzA2Mjk1NTk=,89,Creating a specific 3.6 binary for Linux
43193,MDU6SXNzdWU3MDA2NTY5NDk=,88,W tensorflow/stream_executor/platform/default/dso_loader.cc:59] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
23747,MDU6SXNzdWUzODA3Njc4MDQ=,87,Feature Request - Deeplab TFLITE Android Application
6999,MDU6SXNzdWUyMDIzMzcyNzY=,87,Please update Windows TF to support python 3.6
26289,MDU6SXNzdWU0MTY0NzIyNTk=,86,Compatibility with Cuda 10.1? 
26182,MDU6SXNzdWU0MTUyNTE2MDU=,85,ImportError: libcublas.so.10.0: cannot open shared object file: No such file or directory
851,MDU6SXNzdWUxMjgzMjE3Mjg=,85,tensorflow for Nvidia TX1
10685,MDU6SXNzdWUyMzU2MjM2OTU=,83,Darwin support for MKL build / configure script
206,MDU6SXNzdWUxMTY4MjcyNjM=,83,Generalize slicing and slice assignment ops (including gather and scatter)
50,MDU6SXNzdWUxMTU5OTY5MTQ=,83,Ruby API
20517,MDU6SXNzdWUzMzc4ODA1ODQ=,80,Python 3.7 compatibility
3628,MDU6SXNzdWUxNjkxOTU2NjA=,80,Unable to import frozen graph with batchnorm
18,MDU6SXNzdWUxMTU5MjYyMDg=,80,C# api
2034,MDU6SXNzdWUxNDk2OTg5NzI=,79,segmentation fault
386,MDU6SXNzdWUxMTk3MjA5MTM=,79,Implement Fast Fourier Transform ops
13463,MDU6SXNzdWUyNjI0MDI4MTg=,77,DataLossError (see above for traceback): corrupted record at 12
4359,MDU6SXNzdWUxNzY3MDg1OTU=,77,Feature Request: plug-in support for new devices
21526,MDU6SXNzdWUzNDkyODUyNTA=,75,Address missing TensorFlow operations to TFLite:
2412,MDU6SXNzdWUxNTU0MDQ3NTA=,75,Packaged TensorFlow C++ library for bazel-independent use
38712,MDU6SXNzdWU2MDMzMTc3MzI=,74,Cannot build TF 2.2 rc2 or rc3 on Windows
33924,MDU6SXNzdWU1MTYzNDkwMDk=,74,Bidirectional LSTM fail on TF2.0
19297,MDU6SXNzdWUzMjMzMDY2MjI=,74,[Feature Request] GCS and S3 support on windows
4105,MDU6SXNzdWUxNzQxMDU2MDg=,74,ERROR: no such package '@local_config_cuda//crosstool': BUILD file not found on package path. 
1592,MDU6SXNzdWUxNDI5MDI2MDU=,74,Binary ops
