Número da Issue,ID,Quant. comentários,Título
114,MDU6SXNzdWU3Mjc3NTU1MQ==,0,"Underscore character in front of the ""Basics"" section under Haskell"
643,MDU6SXNzdWUxNTMxNjY4NTU=,0,Getting more done in GitHub with ZenHub
699,MDU6SXNzdWUxNjIyNTYxMjI=,0,Awesome
908,MDU6SXNzdWUyMTQwOTczMTI=,0,New suggestion for requirement for awesome list - github topic tags
1101,MDU6SXNzdWUyNjY4NDM2NjE=,0,Awesome mentioned in a science journal
1118,MDU6SXNzdWUyNjk3OTE5ODQ=,0,broken link in contributing.md
1140,MDU6SXNzdWUyNzU1NTQwMDk=,0,Help wanted - awesome-discord
1263,MDU6SXNzdWUzMTEwOTAzMzA=,0,project designing
1474,MDU6SXNzdWUzODgyNDM0Mjk=,0,I need help for gathering Technology radars
1604,MDU6SXNzdWU0ODAxNDMzMzc=,0,Regarding Archived Projects
1619,MDU6SXNzdWU0OTY4MTI5OTI=,0,Lint Awesome itself
1680,MDU6SXNzdWU1NDQ1OTQzNDM=,0,Would author add data structures and algorithms list?
1764,MDU6SXNzdWU2MTA1Mjc3MDY=,0,Mislead category about networking.
1810,MDU6SXNzdWU2NDM3NjQ4ODE=,0,Removing broken links from lists
1883,MDU6SXNzdWU3MjIzNjIzNDA=,0,Awesome API Documentation Examples...
1899,MDU6SXNzdWU3NDAwNjU3MDM=,0,Doubt about awesome-lint double-link error
1910,MDU6SXNzdWU3NDU5MTAyOTU=,0,Awesome Statistics Project
20,MDU6SXNzdWUzODkwMjY1OA==,1,Have you considered breaking + regrouping Miscellaneous section?
33,MDU6SXNzdWU0MjYwNjY2Nw==,1,Awesome Radio
51,MDU6SXNzdWU1MDU2OTI4MA==,1,Suggestion
107,MDU6SXNzdWU2Njg3Nzk3NA==,1,AwesomeOpenSource
112,MDU6SXNzdWU3MTk4OTcxMQ==,1,Arrange the lists in alphabetical Order.
128,MDU6SXNzdWU3NzAzMTQwMg==,1,List of useful Git Hook and .gitignore files
129,MDU6SXNzdWU3NzAzMzUzMg==,1,O'Reilly Media Inc
138,MDU6SXNzdWU3ODI2MTk0OA==,1,"Add ""Mad Science Modules"""
184,MDU6SXNzdWU4NTkyMjE2OQ==,1,Remove git-cheat-sheet and github-cheat-sheet?
206,MDU6SXNzdWU5MDU0MjEzOQ==,1,nzakas/computer-science-in-javascript
222,MDU6SXNzdWU5MjQ3ODg2MA==,1,Awesome list of Responsive Web Design resources
230,MDU6SXNzdWU5NDUwMDgzNw==,1,awesome mobile
232,MDU6SXNzdWU5NTQxOTMzMQ==,1,Add awesome-linuxaudio
254,MDU6SXNzdWU5ODYzODA2OQ==,1,Add Awesome Information Security 
258,MDU6SXNzdWU5OTI4NDMxNg==,1,Table of content for each section?
289,MDU6SXNzdWUxMDI4NjczOTQ=,1,Implementation of awesome-sample-apps
298,MDU6SXNzdWUxMDM2OTI5Njk=,1,Badge height
304,MDU6SXNzdWUxMDUwMjIzODM=,1,What about Alphabetization?
323,MDU6SXNzdWUxMDY5NjY4MjA=,1,CoffeeScript
410,MDU6SXNzdWUxMTYwMjQ0NDg=,1,Website?
444,MDU6SXNzdWUxMjE2NDExMjg=,1,Meteor + TheIntern.io - Automate Testing Link
501,MDU6SXNzdWUxMjgzNTA3NTI=,1,API to search / fetch awesome data
516,MDU6SXNzdWUxMzAyMjM4OTg=,1,Do you think conventional-changelog belongs here?
517,MDU6SXNzdWUxMzA3MzUzNjg=,1,A possible duplicate but a different layout
548,MDU6SXNzdWUxMzY4NjY4NDI=,1,Revisit applying alpha sorting of lists
621,MDU6SXNzdWUxNDg4MTIzODg=,1,awesome-android
650,MDU6SXNzdWUxNTM3NTU3ODY=,1,"PR template to ""enforce"" contribution guidelines?"
661,MDU6SXNzdWUxNTU3MjgwNjQ=,1,"Request awesome list ""admins"" to move repos to awesome-lists organization"
687,MDU6SXNzdWUxNTk5NzkyNjg=,1,Create page(s) for this awesome awesome repo on the zeef.com
693,MDU6SXNzdWUxNjA5ODk1NjE=,1,addition of best practices list
717,MDU6SXNzdWUxNjU5NzkxOTM=,1,why there is no ext.js
731,MDU6SXNzdWUxNjk2MTM4NTQ=,1,Proposal for adding TastyToast
736,MDU6SXNzdWUxNzAyMzg2MzE=,1,Awesome code analysis
