Número da Issue,ID,Quant. comentários,Título
253,MDU6SXNzdWU5ODIwODA2OQ==,128,Add badge to existing lists
784,MDU6SXNzdWUxODEzNDI5Nzk=,46,How to grow Awesome?
207,MDU6SXNzdWU5MDYyMzQ5Ng==,28,Improve the awesome list ecoystem
427,MDU6SXNzdWUxMTkwODM5NjU=,25,Website for searching in awesome.
732,MDU6SXNzdWUxNjk2OTYxNjQ=,20,"More non-{tech,science} awesome lists please!"
213,MDU6SXNzdWU5MTQ2NDA2Ng==,18,Badge
153,MDU6SXNzdWU3OTU4MzgwNQ==,18,Local awesome lists
628,MDU6SXNzdWUxNDk1MjIyNzY=,17,No longer actively maintained repositories
928,MDU6SXNzdWUyMTg2NzUwMTg=,16,Let's add description to entries
927,MDU6SXNzdWUyMTg2NzQxODc=,16,List maintainer looking for help
683,MDU6SXNzdWUxNTkzNDMyMDM=,14,Review bot?
143,MDU6SXNzdWU3ODY0MjUyMA==,13,More categories
1363,MDU6SXNzdWUzNDU0NjQ0MTY=,12,Project status
891,MDU6SXNzdWUyMDk1MjYzOTY=,12,This is awesome
1323,MDU6SXNzdWUzMjg4NjAwNTY=,9,Still accepting new entries?
926,MDU6SXNzdWUyMTg2NzI1OTE=,9,List maintainers  Ensure your list is still awesome
216,MDU6SXNzdWU5MTg0Mzg1Nw==,9,Shouldn't the master list be ordered alphabetically?
1282,MDU6SXNzdWUzMTg4NDU3Mzk=,8,Adding non-English resources to a themed list?
748,MDU6SXNzdWUxNzIyNjU4MTU=,8,Responsibility of the maintainer to respond in a timely fashion..
718,MDU6SXNzdWUxNjU5ODIzNzI=,8,Curated list maintained by the community
477,MDU6SXNzdWUxMjYzNzg1Nzk=,8,Mongo?
291,MDU6SXNzdWUxMDMwMTgwMTE=,8,Static Site Generator
1698,MDU6SXNzdWU1NjQwNjQ1MTY=,7,Request to have my list added as an awesome-software-engineer list
671,MDU6SXNzdWUxNTczODUzMjk=,7,Awesome Windows Repository
550,MDU6SXNzdWUxMzY5MTY4Mjg=,7,Helping sorting the Miscellaneous category
479,MDU6SXNzdWUxMjY5NDE2NDQ=,7,Non-english lists
269,MDU6SXNzdWUxMDA4MTEyNDU=,7,How can we get non-git users to contribute PRs to awesome lists?
219,MDU6SXNzdWU5MjEyMTIzMQ==,7,Regular Expression 
1793,MDU6SXNzdWU2Mzg1NjA1ODA=,6, Could you please rename master branch?
1572,MDU6SXNzdWU0NDgyODkwNjc=,6,Would make sense adding awesome-* lists for learning languages?
1404,MDU6SXNzdWUzNjQ3OTgzMzI=,6,Browser automation tools
1365,MDU6SXNzdWUzNDU1MDQ4MDM=,6,Suggestion: Add CI to automate heavy PR load
977,MDU6SXNzdWUyMzIxMDg2MTc=,6,Where's Ada?
929,MDU6SXNzdWUyMTg5ODUxNTk=,6,chinese version?
872,MDU6SXNzdWUyMDI0MDQzMDE=,6,Media > GIF link broken
504,MDU6SXNzdWUxMjg2MTk3NjE=,6,Helping reader find most relevant content
349,MDU6SXNzdWUxMTA3MzYwMTM=,6,NoSQL
130,MDU6SXNzdWU3NzM1OTI5OQ==,6,you dont know js
1283,MDU6SXNzdWUzMTg5ODIwNTQ=,5,I made a tool: mmarkdown
1255,MDU6SXNzdWUzMDgzMjU2NDc=,5,"Proposal to add Awesome engineering Vlog (youtube, vimeo etc)"
1184,MDU6SXNzdWUyODg1Njg5MzA=,5,Why is Ripple under decentralized systems? It's centralized.
1048,MDU6SXNzdWUyNTgyOTA2Mjc=,5,Mentioned in Awesome badge/shield
873,MDU6SXNzdWUyMDMzODExNjY=,5,Meta list for programming libraries
569,MDU6SXNzdWUxNDAwMzY5Njc=,5,Tools for enforcing awesome-style?
360,MDU6SXNzdWUxMTIwMzE5Njc=,5,Include Awesome AWS in the list
177,MDU6SXNzdWU4NDMwMjUzMw==,5,Organizing the michellaneous category alphabetically
1755,MDU6SXNzdWU1OTc1MTM3NDc=,4,Gaming - Minecraft is seriously outdated
1438,MDU6SXNzdWUzNzQ5MDIxMTI=,4,ListList service and Awesome lists
1338,MDU6SXNzdWUzMzM3NDk0ODU=,4,Awesome Pretty List
1198,MDU6SXNzdWUyOTI4MTQ3MTQ=,4,Fork Awesome Open Source Games?
