Número da Issue,ID,Quant. comentários,Título
60,MDU6SXNzdWUxODY3Njc2OTE=,0,Google 
99,MDU6SXNzdWUxOTgxMDExODc=,0,Translation: Portuguese
125,MDU6SXNzdWUxOTkyNTU4NTc=,0,How to Translate
130,MDU6SXNzdWUxOTk5NTM1MTI=,0,A little bad news. I didn'
294,MDU6SXNzdWUyODY1MjY2MDg=,0,Translation: Russian (v.2)
318,MDU6SXNzdWUzMTM4MTI0NjA=,0,"Removing Operational System generated files (DS_Store,Thumbs.db..)"
334,MDU6SXNzdWUzMjU1ODUyMDg=,0,"""Tree Height Remark (video)"" under ""Heap / Priority Queue / Binary Heap"""
348,MDU6SXNzdWUzMzU0ODc1ODg=,0,Fix typos in README.md
374,MDU6SXNzdWUzNzM2NTI4Mzg=,0,Hash Table section probably incorrect link
386,MDU6SXNzdWUzNzk1NjU4MjQ=,0,Broken Links to Bit Twiddler
419,MDU6SXNzdWU0MjgwNzYxOTI=,0,Translation: Albanian
429,MDU6SXNzdWU0NjA4NzA3MTY=,0,Flashcards available in Duolingo Tinycards 
437,MDU6SXNzdWU0NzM1NDAwODU=,0,Translation: Brazilian Portuguese
498,MDU6SXNzdWU1ODYwMzQwNzQ=,0,jwasham
509,MDU6SXNzdWU2MDEzNDUwODk=,0,MyCodingDream
511,MDU6SXNzdWU2MDI1NTIwMDc=,0,Coding interview preparation
528,MDU6SXNzdWU2MTc4ODQ1OTQ=,0,Study
535,MDU6SXNzdWU2MjM3ODM5NzI=,0,Coding interview university
541,MDU6SXNzdWU2NDQwOTAyMTI=,0,Learn
542,MDU6SXNzdWU2NDQyMzE1OTE=,0,SE plan
544,MDU6SXNzdWU2NDQ2NzgwNTU=,0,Coding
546,MDU6SXNzdWU2NDUwNjgzMzU=,0,Dean
556,MDU6SXNzdWU2NTE5MTc1NzE=,0,Hell of resources!!( +Tips) interview preparation
567,MDU6SXNzdWU2NTk4OTYyNjk=,0,Complete CS Guide
569,MDU6SXNzdWU2NjA4NzEyOTU=,0,Coding interview
570,MDU6SXNzdWU2NjEyMTEyNDY=,0,Nice Day
571,MDU6SXNzdWU2NjIxODM5NDM=,0,Entrevista de emprego 
572,MDU6SXNzdWU2NjIyMzYwNzY=,0,SLP
573,MDU6SXNzdWU2NjI2MTM5Mjg=,0,studiyng
577,MDU6SXNzdWU2NjUyODM1NzE=,0,Estudar
578,MDU6SXNzdWU2NjUyODM3Nzg=,0,Estudar
579,MDU6SXNzdWU2NjUzMTY5Nzg=,0,Things to learn?
581,MDU6SXNzdWU2NzE2NDk0NzI=,0,Coding interview
585,MDU6SXNzdWU2NzIyMzc1MDQ=,0,Study list
586,MDU6SXNzdWU2NzIyODE3ODM=,0,tew6 1
591,MDU6SXNzdWU2NzM3Mjc2MjM=,0,Good
592,MDU6SXNzdWU2NzM4Mzc1MzI=,0,Coding Interview
594,MDU6SXNzdWU2NzQ0MjcwNjg=,0,PROJECT 9894
606,MDU6SXNzdWU2ODUwNDAzMDQ=,0,Path
607,MDU6SXNzdWU2ODU5NTc5OTg=,0,y
608,MDU6SXNzdWU2ODY0ODY2NzY=,0,"ASDF
ASDF
"
609,MDU6SXNzdWU2ODc0NTQ4Njg=,0,Coding Interview University
611,MDU6SXNzdWU2ODc5MDk2Mzg=,0,Good. Thanks
612,MDU6SXNzdWU2ODc5NDQ5MzU=,0,CS
613,MDU6SXNzdWU2ODgzMjk0ODg=,0,Thanks 
614,MDU6SXNzdWU2ODg2NDQ4OTY=,0,Software engineering
620,MDU6SXNzdWU2OTE2MDc1NTI=,0,Array 
626,MDU6SXNzdWU3MDExNDgxMTQ=,0,cs study plan
627,MDU6SXNzdWU3MDEyMDg1NjA=,0,javbuslibraryrealse
634,MDU6SXNzdWU3MDk4MDEzNjI=,0,Translation: Serbian.  
