Número da Issue,ID,Quant. comentários,Título
9,MDU6SXNzdWUyMTQ4NzE3NzY=,0,Add contribution guide
52,MDU6SXNzdWUyMTYwNjMzNTk=,0,Help wanted 
78,MDU6SXNzdWUyMTcwMjM1NDk=,0,Vietnam
182,MDU6SXNzdWUyMzcyNzExODg=,0,[suggestion] Add short descriptions for each main path
268,MDU6SXNzdWUyNDU4NzQ0Nzg=,0,Add OpenStack to DevOps->Cloud Roadmap
284,MDU6SXNzdWUyNjE1NjgyODM=,0,Add Zend to PHP frameworks
285,MDU6SXNzdWUyNjE5ODM0ODg=,0,Where does WordPress fall into the RoadMap?
318,MDU6SXNzdWUyODcxOTM4NTc=,0,Enzyme should be linked to React
319,MDU6SXNzdWUyODcxOTYyMjg=,0,Fix background color
320,MDU6SXNzdWUyODcyMDA4MjQ=,0,Design Patterns duplication
321,MDU6SXNzdWUyODcyMDI4NTM=,0,Add Regex to 'Required for any path' section
322,MDU6SXNzdWUyODcyMDM5NzU=,0,CSS cleanup
325,MDU6SXNzdWUyODc1NTk1MTc=,0,Add webpack as taskrunner
357,MDU6SXNzdWUyOTA2Mzc4Mjc=,0,Stop
368,MDU6SXNzdWUyOTIyNjgwNzM=,0,Bug
376,MDU6SXNzdWUyOTM4NDc1MDk=,0,Remove redis from caching section
377,MDU6SXNzdWUyOTQxMTYxMTE=,0,2324
382,MDU6SXNzdWUyOTQ3NTYyOTM=,0,I would love to but I need to secure my phone
383,MDU6SXNzdWUyOTUwNDc2Mzk=,0,Additions to DevOps
405,MDU6SXNzdWUyOTgxMDcyOTI=,0,Regarding Preparation according to roadmap
424,MDU6SXNzdWUzMDM4MzczNDE=,0,Change colour for Zabbix
428,MDU6SXNzdWUzMDU5NjM4Nzk=,0,Add Go to Backend
445,MDU6SXNzdWUzMTY0MDEyMDM=,0,"You really ruined these roadmaps, simple is better."
447,MDU6SXNzdWUzMTc5Mjc3NzY=,0,What about mobility?
448,MDU6SXNzdWUzMTgzMDcyMDU=,0,should add PWA
464,MDU6SXNzdWUzMzA5NjExODA=,0,DevOps: Please add Oracle as Cloud Provider
469,MDU6SXNzdWUzMzUxNTQ5MzI=,0,Colours
478,MDU6SXNzdWUzNDU1NDQxMzQ=,0,Feedback and project
489,MDU6SXNzdWUzNTQxMDE5ODc=,0,A testing.
490,MDU6SXNzdWUzNTU2NjYwMDE=,0,Add singularity on container branch
496,MDU6SXNzdWUzNjY2NTUwODQ=,0,Need help C++ Transfer file send and recieve
515,MDU6SXNzdWUzODA2OTk5MTg=,0,needs medium article links in README section under individual roadmap 
527,MDU6SXNzdWUzOTUwMjAzOTU=,0,2018 branch?
545,MDU6SXNzdWUzOTg4MTI4MzQ=,0,linux
576,MDU6SXNzdWU0MzYwMDYzNDk=,0,My image
582,MDU6SXNzdWU0NDExMjkyMzA=,0,Continuous integration for json checking
655,MDU6SXNzdWU1Njc0MzgyMjA=,0,Book rat
666,MDU6SXNzdWU1ODUzMjkxODg=,0,I thinking it would be good and maybe add some new ways for front-end and back-end delevopers and get other users make themselves choose more currently.
670,MDU6SXNzdWU1ODk2ODM2OTY=,0,Add more details for Backend > CI/CD
679,MDU6SXNzdWU1ODk5OTk0MjU=,0,DevOps - Infrastructure as Code - Infrastructure Provisioning - AWS CDK
683,MDU6SXNzdWU1OTMxNjYzOTE=,0,Roadmap
696,MDU6SXNzdWU1OTgwODkyOTI=,0,Add state management to fe list 
705,MDU6SXNzdWU2MDQxNzgzNTk=,0,Typo: 'Gitlab' should be 'GitLab'.
713,MDU6SXNzdWU2MTMxMDc1MzU=,0,missing somthings like vue-cli nuxt ?
714,MDU6SXNzdWU2MTM0ODYwNTQ=,0,Road
721,MDU6SXNzdWU2MTk2MTc3MTg=,0,my
722,MDU6SXNzdWU2MjM3NjMyNTc=,0,Add GraphQL to Back End Path
726,MDU6SXNzdWU2MzI1NTY1OTk=,0,Devops road map
728,MDU6SXNzdWU2NDQwMjc5Mzg=,0,.
729,MDU6SXNzdWU2NDQxNjk4OTQ=,0,Include softskills in separate section
