Número da Issue,ID,Quant. comentários,Título
474,MDU6SXNzdWUzMzg2MDQyNDU=,17,DevOps is not a career path
1,MDU6SXNzdWUyMTQ1NDE1NTg=,15,Why is PHP involved in a roadmap with a year above 2011
614,MDU6SXNzdWU0ODE2Mjg1ODY=,12,Software QA Roadmap
127,MDU6SXNzdWUyMjIwMDIxMjk=,12,Full stack path
773,MDU6SXNzdWU2OTcwNzU1NzE=,9,Add new roadmap for mobile developers (Mobile Roadmap)
772,MDU6SXNzdWU2OTY5Mzk3NTg=,9,Data Engineering 
663,MDU6SXNzdWU1ODI2NTMwMzQ=,9,Frameworks for Backend
560,MDU6SXNzdWU0MDg3NDYzODM=,9,Links 
419,MDU6SXNzdWUzMDA2MDE5MzY=,9,Add IDE/Editor Suggestion
408,MDU6SXNzdWUyOTg4NDIzMTQ=,9,Frontend : Jquery
130,MDU6SXNzdWUyMjI4ODU0MTg=,9,GitLab should be included as a serious alternative to GitHub
64,MDU6SXNzdWUyMTY2NDExMDE=,9,"Let's create a roadmap for mobile developers ( iOS, Android )"
27,MDU6SXNzdWUyMTUyOTIxODI=,9,Nginx + php-fpm vs Apache + PHP FastCGI
26,MDU6SXNzdWUyMTUyNzk3OTg=,9,JavaScript Frameworks
5,MDU6SXNzdWUyMTQ2Nzk4MzM=,9,"Can add the text editors, programming environments etc."
517,MDU6SXNzdWUzODIwMDgzMDQ=,8,Why C# and Java as other option and not Enterprise Development ?
168,MDU6SXNzdWUyMzAzMDM2MzE=,8,Add AJAX to front-end developement
145,MDU6SXNzdWUyMjM5NjM2OTg=,8,any plans for a roadmap for mobile app developer
613,MDU6SXNzdWU0ODEwNTM5NzU=,7,Network Roadmap ?
468,MDU6SXNzdWUzMzQ3ODQwNzI=,7,Road-map for full-stack?
458,MDU6SXNzdWUzMzAzMzU5NjY=,7,where to learn the coding
38,MDU6SXNzdWUyMTU1NjE5Mjg=,7,Software licences
717,MDU6SXNzdWU2MTc2NjU2NzU=,6,Why don't begin with the bases?
697,MDU6SXNzdWU1OTg5Mzk0OTI=,6,what program do you use to draw this diagrams?
630,MDU6SXNzdWU1MTc5OTA2NjY=,6,Roadmap for Linux Kernel Developer
624,MDU6SXNzdWU1MDk1MzA0Njk=,6,Cyber Security roadmap
562,MDU6SXNzdWU0MTE1Mjg4NDg=,6,why not includes the GraphQL?
555,MDU6SXNzdWU0MDM2MDEyNzI=,6,Hugo in the Static Sites Generators
450,MDU6SXNzdWUzMTkyMzcwMTU=,6,Regarding SDE roadmap
334,MDU6SXNzdWUyODc3ODE1NjM=,6,[Suggestion] Security roadmap
307,MDU6SXNzdWUyODYzNDQyNzk=,6,C# way should be appended
271,MDU6SXNzdWUyNDgxNjU5Nzk=,6,Deep dive into Git
174,MDU6SXNzdWUyMzQwMDU1MDQ=,6,"Remove ""Start Building"" icon from the bottom"
148,MDU6SXNzdWUyMjQzNjI1MTk=,6,What about html5 game development?
144,MDU6SXNzdWUyMjM5NDg2Nzc=,6,I made an interactive version of this repository
138,MDU6SXNzdWUyMjM1MjkwODU=,6,Add Path for Product Manager
136,MDU6SXNzdWUyMjM1Mjg4MjY=,6,Add Path for UX Design
106,MDU6SXNzdWUyMTc4MTg5Njc=,6,DevOps: Make OS more specific
101,MDU6SXNzdWUyMTc2Njc0NDA=,6,Front-end Suggestions
55,MDU6SXNzdWUyMTYzOTIwNjg=,6,Put 'start building' at the top!
53,MDU6SXNzdWUyMTYxNTkyOTc=,6,PHP
612,MDU6SXNzdWU0Nzk2MTU4MTI=,5,Generate this Graph from using a Graph ML
611,MDU6SXNzdWU0Nzk1MzQ3NTg=,5,"There is no ""C / C++"" language"
598,MDU6SXNzdWU0NjI0MTU5NjQ=,5,_
574,MDU6SXNzdWU0Mjk5NjM3ODE=,5,Accessibility & Understandability - Color scheme
442,MDU6SXNzdWUzMTU3MjQ1OTY=,5,Older tree style is much easier to read
392,MDU6SXNzdWUyOTYyODQ2ODQ=,5,Firebase maybe?
276,MDU6SXNzdWUyNTIyOTU2MTk=,5,[Suggestion] Web GIS developer roadmap
260,MDU6SXNzdWUyMzc1Nzk4MTc=,5,[suggestion] Add Data Science / Machine Learning Road Map
176,MDU6SXNzdWUyMzQ1Njk1NzU=,5,DevOps chart needs VCS choices and branching-model choices
