Número da Issue,ID,Quant. comentários,Título
11,MDU6SXNzdWUyMjk5MjUwNg==,0,"Code missing in code snippet -  Module section, Chapter 5"
22,MDU6SXNzdWUyNDY4MjkwNw==,0,Appendix to discuss indirect `this` bindings
25,MDU6SXNzdWUyNDc0NzAzNA==,0,"""this & object prototypes"": Add discussion of ES5's (`forEach`, `every`, `some`) array value-iterations"
26,MDU6SXNzdWUyNDc0NzkyMw==,0,Add discussion of moot/ignored value for `this` binding
30,MDU6SXNzdWUyNTE4NDk1NQ==,0,"Chapter 1, ""Conversation?"" section edits"
34,MDU6SXNzdWUyNTE4NTE5MQ==,0,"Chapter 3, ""Collision Avoidance"" section edits"
43,MDU6SXNzdWUyNTU5NzQ2Mw==,0,"ES6 has no ""inline module"" syntax"
48,MDU6SXNzdWUyNjU2OTU2OQ==,0,"""types & grammar"": cover stuff like `(i++)`"
49,MDU6SXNzdWUyNjYxOTcwNg==,0,"""types & grammar"": cover when toString() and valueOf() are implicitly called"
54,MDU6SXNzdWUyNzM2MzcxNw==,0,"""types & grammar"": cover what `&&` and `||` operators ACTUALLY do"
55,MDU6SXNzdWUyNzUyNTQ3Nw==,0,"""types & grammar"": mention falsy objects"
59,MDU6SXNzdWUyNzYxNTU3MQ==,0,"""types & grammar"": cover ints versus floating point"
73,MDU6SXNzdWUyODEzMTI4OA==,0,"""types & grammar"": cover `if..else if..else`"
75,MDU6SXNzdWUyODUzNTcwNQ==,0,"for ""this & object prototypes"", clarify constructor vs constructor call"
77,MDU6SXNzdWUyODU5MTI2Ng==,0,"""types & grammar"": cover difference between missing argument and explicit `undefined` argument"
90,MDU6SXNzdWUyOTUzODk2Ng==,0,"""this & object prototypes"": cover ""parasitic inheritance"" (probably ch4)"
94,MDU6SXNzdWUzMDMzMzg3NQ==,0,"""types & grammar"": explain Symbol and == behavior"
95,MDU6SXNzdWUzMDQ1OTI3MA==,0,"""this & object prototypes"": ch6, add discussion of object-method shorthand"
98,MDU6SXNzdWUzMDUxODU0MQ==,0,"preface: typo ""famoulsy"""
99,MDU6SXNzdWUzMDUzMjQ3NA==,0,"""this & object prototypes"": discuss Object.assign(..)"
102,MDU6SXNzdWUzMDkyMjE4Mg==,0,"""this & object prototypes"": discuss ` = Object.create(null)` for `this` bindings"
103,MDU6SXNzdWUzMTAxODE3Mg==,0,"""this & object prototypes"": explain the `for..of` caveat with `done:true`"
106,MDU6SXNzdWUzMTE1OTkwMg==,0,"""this & object prototypes"": cover ""computed property names"" in ch3"
108,MDU6SXNzdWUzMTM3NTk2NA==,0,"""this & object prototypes"": ch2, cover ""soft binding"""
112,MDU6SXNzdWUzMTUyNzI5Ng==,0,"""this & object prototypes"": discuss introspection styles between class and oloo"
119,MDU6SXNzdWUzMjExNTgyMQ==,0,"""scope & closures"": typo"
125,MDU6SXNzdWUzMjQxODQ0OQ==,0,"""types & grammar"": in discussing references, talk about truncating array"
126,MDU6SXNzdWUzMjUzODg5OQ==,0,"""types & grammar"": cover labeled statements, labeled for-loops w/ labeled continue/break"
134,MDU6SXNzdWUzNDI0NTc4OA==,0,"""async & performance"": cover tail call optimization"
135,MDU6SXNzdWUzNDI4NDQ2Ng==,0,"""async & performance"": cover SIMD extensions"
139,MDU6SXNzdWUzNDcyNzA0Mw==,0,"""types & grammar"": cover `Object.is(..)`"
150,MDU6SXNzdWUzNjc2OTUzMQ==,0,"""types & grammar"": cover this about NaN"
153,MDU6SXNzdWUzNzMyMTc0Mg==,0,"""this & object prototypes"": mention subclassing of bound functions"
154,MDU6SXNzdWUzNzMyMjE3Mg==,0,"""types & grammar"": cover `Object(..)` for coercing primitive to object wrapper"
156,MDU6SXNzdWUzNzYwMDEyNw==,0,"""types & grammar"": cover ""primitive"" vs. ""scalar"""
162,MDU6SXNzdWUzODM4NTEzNQ==,0,"""types & grammar"": cover `JSON.stringify(..)` params, details"
165,MDU6SXNzdWUzODY5ODc0OA==,0,"""types & grammar"": cover 32-bit integers"
177,MDU6SXNzdWU0MDYyMDAyMA==,0,"""types & grammar"": cover grammar gotchas"
189,MDU6SXNzdWU0MjkyMjYwMA==,0,Type & Grammer - name not complete
193,MDU6SXNzdWU0MzA1Mjc2Ng==,0,Types & Grammer - typo 
195,MDU6SXNzdWU0MzA3MTkxMQ==,0,"""types & grammar"": Result value of `delete` operator explained wrong?"
198,MDU6SXNzdWU0MzIzMTc1Nw==,0,Types & Grammer - double comma
210,MDU6SXNzdWU0NjAzMDY5NA==,0,"""types & grammar"": talk about implementation-specific limits"
246,MDU6SXNzdWU0OTYxMjEyOQ==,0,"""async & performance"": missing part of sentence in ch4.md"
260,MDU6SXNzdWU1MTMzMDYwNg==,0,"""async & performance"": need to cover `Generator#return(..)`"
265,MDU6SXNzdWU1MjUxNjM0OQ==,0,"""types & grammar"": add Brendan's 2012 thoughts on ASI"
267,MDU6SXNzdWU1MjU4MzMxNQ==,0,"""types & grammar"": add ""reserved words"" discussion, maybe to appendix"
268,MDU6SXNzdWU1MjYwNjYxNQ==,0,"""types & grammar"": cover `finally` clause"
273,MDU6SXNzdWU1MzA3MDg2NQ==,0,"""types & grammar"": explain how `Object.create(null)` makes a non-coercable object "
281,MDU6SXNzdWU1MzUyMzQyNw==,0,"""async & performance"": fix incorrect function references in text"
