Número da Issue,ID,Quant. comentários,Título
268,MDU6SXNzdWUzMjgwMTY0OTk=,44,
52,MDU6SXNzdWUzMDQ4NDcwMDg=,21,Please translate to english
567,MDU6SXNzdWU0MTEyMTIyODg=,18, Offer
106,MDU6SXNzdWUzMDkyMDgwMTc=,15,
95,MDU6SXNzdWUzMDg0MTcwNTM=,15,
74,MDU6SXNzdWUzMDY3ODcxMTE=,11,Code section needs to be fixed (1 minute fix)
967,MDU6SXNzdWU2NzU1NDA0MTM=,10,!!! !!!
4,MDU6SXNzdWUyOTk5OTU4MzI=,10,201618
44,MDU6SXNzdWUzMDQzMDk1OTM=,9,Web 
11,MDU6SXNzdWUzMDEzMzA3MzA=,9,[] + [] 
750,MDU6SXNzdWU0NzAxODkwMzQ=,8,java
562,MDU6SXNzdWU0MTEwNDYzNDA=,8,b+
294,MDU6SXNzdWUzMzYyMzc3MjA=,8,pdfhttps://github.com/sjsdfg/Interview-Notebook-PDF
158,MDU6SXNzdWUzMTE5OTEwNzY=,8,
1004,MDU6SXNzdWU3MzQzNzY5Njg=,7,docs notes  notes 
299,MDU6SXNzdWUzMzY1NTA2NjE=,7,PDF 
753,MDU6SXNzdWU0NzM2NDI2ODk=,6,markdownpdf?
482,MDU6SXNzdWUzODc1NzA1NTU=,6,IOIO
476,MDU6SXNzdWUzODY1NDk5MzM=,6,
328,MDU6SXNzdWUzNDIyNTA1Mjg=,6,
138,MDU6SXNzdWUzMTA2NjE1NTc=,6,  email[\w.]+@[\w]+\.[\w]+
133,MDU6SXNzdWUzMTA0MjYwMDM=,6,
130,MDU6SXNzdWUzMTAzODMyMDA=,6,
944,MDU6SXNzdWU2MzYwOTQyODc=,5,
897,MDU6SXNzdWU1ODU2NTI4Nzg=,5,new String  String Pool 
743,MDU6SXNzdWU0NjYxNTU1MjI=,5,mk
727,MDU6SXNzdWU0NTc1MDgyODk=,5,",? "
594,MDU6SXNzdWU0MTc2Njg0NDg=,5,
566,MDU6SXNzdWU0MTExNzY5MDA=,5,UML 
459,MDU6SXNzdWUzODI1NzkzMTI=,5,
458,MDU6SXNzdWUzODI1NzcwOTY=,5, PDF 
420,MDU6SXNzdWUzNjAzMDQyMjM=,5,Offer 
289,MDU6SXNzdWUzMzQ3NjM5Nzg=,5, java
194,MDU6SXNzdWUzMTQwMDEzMzk=,5,select/pollepoll
160,MDU6SXNzdWUzMTIwMTUwNDE=,5,
63,MDU6SXNzdWUzMDU5MzgzNzg=,5,shell
932,MDU6SXNzdWU2MTA1NDUwMDU=,4,b+
827,MDU6SXNzdWU1MzMwNzM1ODY=,4,
711,MDU6SXNzdWU0NDU5OTM2MTE=,4,java
679,MDU6SXNzdWU0MzUzNjE4NjE=,4,Leetcode-Database 178
592,MDU6SXNzdWU0MTcxNTQ4NTk=,4,  k  java.lang.NullPointerException
542,MDU6SXNzdWU0MDAwODQ0MDU=,4,offer 2318.2
537,MDU6SXNzdWUzOTc2OTM3ODU=,4,java .md 
431,MDU6SXNzdWUzNjI4MzQ0MTU=,4,
430,MDU6SXNzdWUzNjI4MzI3ODk=,4,CollectionumlSortSet
410,MDU6SXNzdWUzNTgyNjQ2NzA=,4,
315,MDU6SXNzdWUzNDAxMzQ5Mzc=,4,sqllimit
280,MDU6SXNzdWUzMzIyNDMyNTA=,4,
272,MDU6SXNzdWUzMjkzNjcwMDE=,4,
244,MDU6SXNzdWUzMjEwOTE5OTU=,4,sort
