Número da Issue,ID,Quant. comentários,Título
6,MDU6SXNzdWUyMTI5MjQ2NzY=,0,Migrate links from exercises/solutions to use internal links
41,MDU6SXNzdWUyMTc3NjA0Njg=,0,Topic suggestion: distributed logging and monitoring
53,MDU6SXNzdWUyMjAxOTUxOTE=,0,vulture analysis report
107,MDU6SXNzdWUyNjAwNDQwNjc=,0,Design Amazon's sales rank by category feature
179,MDU6SXNzdWUzNDI0ODE1MDM=,0,albif
195,MDU6SXNzdWUzNDc3MDAyNzg=,0,Fix broken URLs
219,MDU6SXNzdWUzNjI4ODc1NzU=,0,Suggestion: Include Active Directory (AD)
225,MDU6SXNzdWUzNzAwMjU5Njc=,0,[Request] Mention NewSQL in article
234,MDU6SXNzdWUzODEzMDIxNjY=,0,Twitter solution: How are search/notification/user info services designed?
244,MDU6SXNzdWUzOTQ4MTYyMzM=,0,Article suggestion: Web architecture 101
265,MDU6SXNzdWU0MzAwNjQ4NjQ=,0,Add references to Geo Based DNS
267,MDU6SXNzdWU0MzI2Njk5NzQ=,0,Examples of how to create a design diagram
288,MDU6SXNzdWU0NTM5MDU4NzU=,0,Design a parking lot not complete?
309,MDU6SXNzdWU0NzI5NjEyNjk=,0,Add database clustering
311,MDU6SXNzdWU0NzM4MTU4OTQ=,0,"Cache might be overwrite by the old version in ""Design KV for web server query"""
326,MDU6SXNzdWU0OTgxNDQ4NjQ=,0,flash cards not support anki night model
334,MDU6SXNzdWU1MTc3MTE4NDA=,0,"How is the size of the tweet calculated in ""Twitter timeline and search"""
337,MDU6SXNzdWU1MzA4NDY5NTY=,0,"For the twitter problem, why is the user_id 32 bytes and a tweet_id only 8 bytes?"
338,MDU6SXNzdWU1MzA4Nzg4NTg=,0,Web Crawler Service does not use the reverse_index_queue
349,MDU6SXNzdWU1NDY2MjY2MTM=,0,Are the MapReduce code in the System Design Sections still relevant? 
353,MDU6SXNzdWU1NDk5OTg1NTA=,0,"""lazy symbol binding failed"" when running generate-epub.sh"
403,MDU6SXNzdWU2MDE2MjM1Njg=,0,ttttttt
412,MDU6SXNzdWU2MTUyODgxNDg=,0,Why we need MapReducer to deduplicate if the Web Crawler use Redis Sorted Set
420,MDU6SXNzdWU2MjUwODEwNDk=,0, miner  
431,MDU6SXNzdWU2NDY4ODI0MDA=,0,Question: About memcached persistency
442,MDU6SXNzdWU2NTI0MDM2OTU=,0,Add Nubank Engineering Blog
443,MDU6SXNzdWU2NTM1MTIzODU=,0,"Twitter Use Case(Uploading, Fannout Tweet) [Review]"
449,MDU6SXNzdWU2NjIxODY4ODI=,0,System desing prime 
452,MDU6SXNzdWU2NzAwMjU0Njc=,0,"RDMS - Sharding, The way of shard table"
455,MDU6SXNzdWU2NzMwODk2NjY=,0,screen 123 needs a redesign
457,MDU6SXNzdWU2NzY2NzA3MTU=,0,is graphql related to graph data structure?
460,MDU6SXNzdWU2ODQyODQxNDE=,0,KV cache for web queries has wrong backend calculations.
465,MDU6SXNzdWU2ODgzODI1MjM=,0,Please Add Resources for Low-Level System Design.
471,MDU6SXNzdWU3MDUwMTQzOTg=,0,Uzbek translation
475,MDU6SXNzdWU3MDU3ODI1MTk=,0,HBase link is dead
477,MDU6SXNzdWU3MDY1MjAyOTE=,0,Request: distributed design problem
482,MDU6SXNzdWU3MjA0Mjc2MTg=,0,Request: Add GraphQL in the `Communication` section
490,MDU6SXNzdWU3NDMxOTAxNDE=,0,web crawler design: page signature being computed after it is being used
12,MDU6SXNzdWUyMTMyNDEyNjI=,1,Add Dyn DDoS attack link under disadvantages of DNS
16,MDU6SXNzdWUyMTM0NTY4NDU=,1,add discussion of potential pitfalls of transient caches in concurrent scenarios
27,MDU6SXNzdWUyMTU2MzIxMjI=,1,How about a section on testing these architectures?
42,MDU6SXNzdWUyMTc3NjEwNDA=,1,"Topic suggestion: config, devops, and deployment strategy"
43,MDU6SXNzdWUyMTc3NjExNjk=,1,Topic suggestion: authentication services
45,MDU6SXNzdWUyMTg0MTczMjc=,1,"sorry, I push wrong place!"
66,MDU6SXNzdWUyMjIwNTcwODI=,1,Notice: Maintainer Temporarily Unavailable
77,MDU6SXNzdWUyMjg1NDExMjI=,1,Topic suggestion: More related to communication layers
88,MDU6SXNzdWUyMzk5NTUxNjc=,1,Traditional Chinese Translation
150,MDU6SXNzdWUzMDkwMjc5NzQ=,1,Can we have more explanation for Object Oriented design questions?
172,MDU6SXNzdWUzNDEyODk5MzE=,1,"Clarify ""timeline"""
175,MDU6SXNzdWUzNDEzMzk3NDE=,1,Ever heard of gpgpu ? 
