Número da Issue,ID,Quant. comentários,Título
28,MDU6SXNzdWUyMTU3ODA4NTE=,26,Request for Translations
136,MDU6SXNzdWUyOTk1MTU1MDc=,25,Spanish translation
40,MDU6SXNzdWUyMTcyMTY0MTA=,23,Brazilian Portuguese translation
39,MDU6SXNzdWUyMTcyMTYzMjA=,19,Turkish translation
127,MDU6SXNzdWUyOTAxNjkxOTk=,18,Vietnamese Translation 
4,MDU6SXNzdWUyMTI5MTk0MjU=,18,PDF Download
220,MDU6SXNzdWUzNjUyNzk0ODY=,16,Bengali Translation
170,MDU6SXNzdWUzNDEyMzg3OTQ=,13,Arabic translation
102,MDU6SXNzdWUyNTc5MzIxMzA=,13,Korean Translation
15,MDU6SXNzdWUyMTMyNzY2NzA=,13,Make the OmniGraffle template and diagrams available
271,MDU6SXNzdWU0MzUyNzQ2MzI=,9,Should we have a chat to help and connect members ?
100,MDU6SXNzdWUyNTc4OTI2NzQ=,10,Japanese Translation
272,MDU6SXNzdWU0MzU0MjY0ODM=,8,Hebrew translation
87,MDU6SXNzdWUyMzk1MTc2NzM=,9,Russian Translation
38,MDU6SXNzdWUyMTcyMTYwNjY=,8,Simplified Chinese translation
344,MDU6SXNzdWU1NDIxNjAzODM=,7,"Typo in ""Load balancer"" flashcard"
250,MDU6SXNzdWU0MDc4MDQ3OTk=,7,French translation
126,MDU6SXNzdWUyODk3OTAyMjA=,7,Anki flash cards errors
235,MDU6SXNzdWUzODE4NzcwMDM=,6,Anki Error on Launching using Ubuntu 18.10
110,MDU6SXNzdWUyNjIxNzE3Mjc=,6,Persian Translation
278,MDU6SXNzdWU0NDE2ODM3MDA=,5,
236,MDU6SXNzdWUzODI5MTg0OTc=,5,Latency numbers every programmer should know update
402,MDU6SXNzdWU2MDEwMjA2MjM=,4,"Normally, the passive server won't take over the IP address of active server in the case of failover"
397,MDU6SXNzdWU1OTYzODc1MDg=,4,"Replace ""master"" and ""slave"" terms"
313,MDU6SXNzdWU0ODE3NDQyMzM=,4,Availability patterns description
171,MDU6SXNzdWUzNDEyODM3NzE=,4,Broken link
86,MDU6SXNzdWUyMzc3NDY0NjM=,4,Unit prefix in Powers of two table
463,MDU6SXNzdWU2ODgxMjQzMjk=,3,Question - Is their a repo as comprehensive as this for Algorithms & Data Structures?
419,MDU6SXNzdWU2MjQ5OTMwMzE=,3,Python iterations
415,MDU6SXNzdWU2MTk3ODQyMTI=,3,DNS diagram not accurate
228,MDU6SXNzdWUzNzYyNDY4NDA=,3,Mutex lock/unlock latency
222,MDU6SXNzdWUzNjc0MTY5OTU=,3, 
187,MDU6SXNzdWUzNDU0NjMzMDI=,3,Thai translation
186,MDU6SXNzdWUzNDUzNzEwMzA=,3,German Translation
164,MDU6SXNzdWUzMzY0ODA1Nzc=,3,Confusing word play in the definition of AP under CAP theorem portion.
130,MDU6SXNzdWUyOTUzNDgwMzM=,2,Greek Translation
68,MDU6SXNzdWUyMjMxMTg5NzE=,3,Polish translation
44,MDU6SXNzdWUyMTgwNjM3NDU=,3,what's the drawing tool on reademe
7,MDU6SXNzdWUyMTI5MzIxOTQ=,3,Convert this to a Gitbook(suggestion)
3,MDU6SXNzdWUyMTI5MTc0MDU=,3,Repo internal links from exercises/solutions are broken
464,MDU6SXNzdWU2ODgyOTY2MDQ=,2,hi
445,MDU6SXNzdWU2NTUzODU2MDk=,2,Fix the reference URLs of the solution READMEs in the zh-Hans version
424,MDU6SXNzdWU2MzY3MzQ5NTQ=,1,About python
422,MDU6SXNzdWU2MzIwMDg1NDk=,2,Tkinter Library
389,MDU6SXNzdWU1NzU0MzY0MTM=,2,Is there a formula which can give an answer about ..
359,MDU6SXNzdWU1NjAxODgzMDc=,2,Indonesian translation
354,MDU6SXNzdWU1NTA2MjQ0NjM=,2,Weighted Round Robin in DNS section points to a broken link.
291,MDU6SXNzdWU0NTc4MDc1MjU=,2,Design key-value store like Redis but link points to introduction
285,MDU6SXNzdWU0NDk3MTA2NTA=,2,Point this course at resume?
274,MDU6SXNzdWU0MzgwNjAxNDQ=,2,Question about `Redis is useful as a simple message broker but messages can be lost.`
